"Gene ID","source_id","Organism","Genomic Location (Gene)","Product Description","Gene Type","Input ID"
"Tb04.24M18.150","Tb04.24M18.150:mRNA","Trypanosoma brucei brucei TREU927","Tb927_04_v5.1:1,458,621..1,459,109(-)","hypothetical protein, conserved","protein coding","Tb04.24M18.150"
"Tb04.3I12.100","Tb04.3I12.100:mRNA","Trypanosoma brucei brucei TREU927","Tb927_04_v5.1:1,312,814..1,313,406(-)","hypothetical protein","protein coding","Tb04.3I12.100"
"Tb05.30F7.410","Tb05.30F7.410:mRNA","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:288,984..293,087(-)","hypothetical protein","protein coding","Tb05.30F7.410"
"Tb06.3A7.270","Tb06.3A7.270:mRNA","Trypanosoma brucei brucei TREU927","Tb927_06_v5.1:389,986..393,393(-)","hypothetical protein, conserved","protein coding","Tb06.3A7.270"
"Tb06.3A7.960","Tb06.3A7.960:mRNA","Trypanosoma brucei brucei TREU927","Tb927_06_v5.1:484,268..485,499(+)","hypothetical protein","protein coding","Tb06.3A7.960"
"Tb07.30D13.110","Tb07.30D13.110:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:2,186,105..2,186,863(+)","hypothetical protein, conserved (pseudogene)","protein coding","Tb07.30D13.110"
"Tb07.30D13.130","Tb07.30D13.130:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:2,184,767..2,185,687(+)","hypothetical protein, conserved (pseudogene)","protein coding","Tb07.30D13.130"
"Tb07.30D13.160","Tb07.30D13.160:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:2,178,294..2,179,475(+)","hypothetical protein, conserved (pseudogene)","protein coding","Tb07.30D13.160"
"Tb07.30D13.180","Tb07.30D13.180:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:2,177,383..2,178,291(+)","hypothetical protein, conserved (pseudogene)","protein coding","Tb07.30D13.180"
"Tb07.30D13.60","Tb07.30D13.60:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:2,193,496..2,195,226(+)","hypothetical protein, conserved (pseudogene)","protein coding","Tb07.30D13.60"
"Tb07.30D13.80","Tb07.30D13.80:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_07_v5.1:2,192,158..2,193,070(+)","hypothetical protein, conserved (pseudogene)","protein coding","Tb07.30D13.80"
"Tb11.01.2730","Tb11.01.2730.1","Trypanosoma brucei brucei TREU927","Tb927_11_v5.1:2,924,995..2,933,789(+)","hypothetical protein, conserved","protein coding","NCDS.Tb927.11.10951"
"Tb11.01.6240","Tb11.01.6240.1","Trypanosoma brucei brucei TREU927","Tb927_11_v5.1:3,882,531..3,883,913(+)","expression site-associated gene 2 (ESAG2) protein, putative","protein coding","NCDS.Tb927.11.14612"
"Tb11.01.6250","Tb11.01.6250:mRNA","Trypanosoma brucei brucei TREU927","Tb927_11_v5.1:3,884,100..3,887,100(+)","expression site-associated gene 11 (ESAG11) protein, putative","protein coding","NCDS.Tb927.11.14613"
"Tb11.02.5380","Tb11.02.5380.1","Trypanosoma brucei brucei TREU927","Tb927_11_v5.1:2,099,504..2,102,422(+)","exosome complex exonuclease RRP44p homologue","protein coding","NCDS.Tb927.11.7451"
"Tb11.02.5390","Tb11.02.5390:mRNA","Trypanosoma brucei brucei TREU927","Tb927_11_v5.1:2,102,759..2,106,050(+)","Guide RNA binding complex protein 4","protein coding","NCDS.Tb927.11.7452"
"Tb11.02.5410","Tb11.02.5410:mRNA","Trypanosoma brucei brucei TREU927","Tb927_11_v5.1:2,109,004..2,109,898(+)","ubiquitin activating enzyme (E1) subunit Aos1, putative","protein coding","NCDS.Tb927.11.7454"
"Tb11.02.5420","Tb11.02.5420:mRNA","Trypanosoma brucei brucei TREU927","Tb927_11_v5.1:2,110,579..2,112,772(-)","NADPH-cytochrome p450 reductase, putative","protein coding","NCDS.Tb927.11.7455"
"Tb11.02.5430","Tb11.02.5430:mRNA","Trypanosoma brucei brucei TREU927","Tb927_11_v5.1:2,114,083..2,115,378(-)","hypothetical protein, conserved","protein coding","NCDS.Tb927.11.7456"
