GeneID	Chromosome	CDS start	CDS end	PCF1r	PCF2r	PCF3r	slBF1r	slBF2r	slBF3r	cBF1r	cBF2r	cBF3r	PCF1m	PCF2m	PCF3m	slBF1m	slBF2m	slBF3m	cBF1m	cBF2m	cBF3m	Percent Multialigners	Annotation source	is Pseudogene	Functional category	Prodcut description
NCDS.Tb927.10.10451	Tb927_10_v5	2571650	2571312	1278.3	1658.6	1397.7	1862.0	1626.2	1686.0	559.5	2091.8	1431.5	750.9	789.3	891.8	992.5	708.5	591.9	327.5	981.0	975.4	99.9	Seattle BioMed	No	DNA-associated	"histone H2B, putative"
NCDS.Tb927.10.13341	Tb927_10_v5	3257539	3257252	110.2	161.0	124.1	60.3	94.9	148.6	65.0	80.1	122.5	299.3	374.0	248.1	248.2	123.7	114.0	354.0	270.6	126.1	0.6	Seattle BioMed	No	Unknown: conserved	"hypothetical protein, conserved"
NCDS.Tb927.10.16121	Tb927_10_v5	3967640	3967744	25.5	34.2	32.6	35.8	23.2	23.9	46.7	67.0	76.4	75.8	93.4	46.8	50.2	45.7	42.4	84.7	84.4	63.7	0.0	Seattle BioMed	No	Unknown: Tb-specific	hypothetical protein
NCDS.Tb927.10.8271	Tb927_10_v5	2051474	2051181	60.2	54.1	39.5	49.2	21.2	40.1	78.0	63.3	71.8	386.4	486.6	242.5	331.4	153.0	158.2	590.4	473.1	197.6	100.0	Seattle BioMed	No	Unknown: Tb-specific	hypothetical protein
NCDS.Tb927.10.8291	Tb927_10_v5	2055119	2054826	69.8	60.7	40.9	53.5	26.3	45.7	74.5	74.0	86.3	466.3	491.2	200.0	308.3	142.4	126.1	574.3	391.1	180.2	100.0	Seattle BioMed	No	Unknown: Tb-specific	hypothetical protein
NCDS.Tb927.11.101	Tb927_11_v5	12217	12071	7.4	12.1	8.0	10.9	8.1	7.4	6.1	4.4	6.1	12.5	5.5	7.7	35.2	36.4	19.7	2.1	10.0	2.2	0.1	Seattle BioMed	No	Unknown: Tb-specific	hypothetical protein
NCDS.Tb927.11.10801	Tb927_11_v5	2889600	2892140	9.8	7.8	19.0	254.8	127.2	120.9	1393.1	1384.9	1067.8	156.1	157.9	77.6	223.7	536.1	475.4	392.4	453.5	547.3	0.7	Seattle BioMed	No	RNA-associated	pumillio/PUF RNA binding protein 11 (PUF11)
NCDS.Tb927.11.10951	Tb927_11_v5	2925203	2933674	291.4	384.0	414.7	635.1	464.3	394.3	905.1	733.7	858.1	1485.4	795.6	817.9	1081.3	2450.5	2014.5	1324.3	1135.4	1727.8	21.7	Seattle BioMed	No	Unknown: conserved	"hypothetical protein, conserved"
NCDS.Tb927.11.11965	Tb927_11_v5	3206244	3205879	269.4	286.9	223.4	1358.0	1278.9	2339.1	1246.0	1697.6	2218.7	207.6	358.3	225.1	780.7	654.1	517.5	830.4	1269.2	1020.8	100.0	Seattle BioMed	No	organelle biogenesis and structure	"microtubule-associated protein,corset-associated protein 15 (CAP15) "
NCDS.Tb927.11.14611	Tb927_11_v5	3881035	3882411	24.2	10.2	37.1	18608.4	14215.5	13727.6	4839.4	3274.3	3773.6	38.6	327.4	68.7	9168.0	8896.5	8821.3	1876.1	1473.4	2884.3	1.3	Seattle BioMed	No	ESAG/GRESAG	"expression site-associated gene 2 (ESAG2) protein, putative"" "
