"Gene_acc","Gene_id","bsf","pcf","rank_bsf","rank_pcf","Desc","prot_group"
"aa0aa","Tb427.BES40.1","3.29","6.92","302.00","5941.00","Tb427.BES40.1","PG0"
"aa1000aa","Tb927.10.10190","3.18","3.66","14.00","1188.00","Leucine-rich repeat domain containing protein","PG569"
"aa1001aa","Tb927.10.10200","5.04","3.61","1733.00","817.00","hypothetical protein, conserved","PG570"
"aa1002aa","Tb927.10.10280","5.87","5.77","3525.00","3939.00","Microtubule-associated repetitive protein 2","PG571"
"aa1003aa","Tb927.10.10320","7.04","6.63","5806.00","5598.00","dynein light chain Tctex-type, putative","PG572"
"aa1004aa","Tb927.10.10330","5.71","5.43","3156.00","3235.00","Anaphase-promoting complex subunit CDC27","PG573"
"aa1005aa","Tb927.10.10340","6.17","5.71","4254.00","3807.00","structural maintenance of chromosome 2, putative","PG574"
"aa1006aa","Tb927.10.10350","5.84","5.66","3449.00","3696.00","STE/STE11 serine/threonine-protein kinase, putative","PG575"
"aa1007aa","Tb927.10.10370","6.94","5.07","5682.00","2659.00","hypothetical protein, conserved","PG576"
"aa1008aa","Tb927.10.10290","6.94","5.07","5682.00","2659.00","hypothetical protein, conserved","PG576"
"aa1009aa","Tb927.10.10380","5.38","5.40","2376.00","3186.00","ATP-dependent DEAD/H RNA helicase, putative","PG577"
"aa100aa","Tb10.v4.0033","6.68","6.26","5302.00","5028.00","pumillo RNA binding protein PUF1","PG48"
"aa1010aa","Tb927.10.10390","7.69","7.73","6335.00","6450.00","trypanothione reductase","PG578"
"aa1011aa","Tb927.10.1040","6.32","3.61","4598.00","771.00","serine peptidase, Clan SC, Family S10","PG579"
"aa1012aa","Tb927.10.10400","5.33","6.44","2259.00","5334.00","Mitochondrial ribosomal protein S11","PG580"
"aa1013aa","Tb927.10.10410","4.66","4.90","1314.00","2436.00","DNA replication licensing factor MCM8, putative","PG581"
"aa1014aa","Tb11.v5.0535","4.66","4.90","1314.00","2436.00","minichromosome maintenance (MCM) complex subunit, putative","PG581"
"aa1015aa","Tb927.10.10420","6.48","6.54","4966.00","5484.00","monothiol glutaredoxin, putative","PG582"
"aa1016aa","Tb927.10.10590","9.03","9.08","6634.00","6642.00","histone H2B, putative","PG583"
"aa1017aa","Tb927.10.10580","9.03","9.08","6634.00","6642.00","histone H2B, putative","PG583"
"aa1018aa","Tb927.10.10570","9.03","9.08","6634.00","6642.00","histone H2B, putative","PG583"
"aa1019aa","Tb927.10.10560","9.03","9.08","6634.00","6642.00","histone H2B, putative","PG583"
"aa101aa","Tb927.10.4430","6.68","6.26","5302.00","5028.00","pumillo RNA binding protein PUF1","PG48"
"aa1020aa","Tb927.10.10550","9.03","9.08","6634.00","6642.00","histone H2B, putative","PG583"
"aa1021aa","Tb927.10.10540","9.03","9.08","6634.00","6642.00","histone H2B, putative","PG583"
"aa1022aa","Tb927.10.10530","9.03","9.08","6634.00","6642.00","histone H2B, putative","PG583"
"aa1023aa","Tb927.10.10520","9.03","9.08","6634.00","6642.00","histone H2B, putative","PG583"
"aa1024aa","Tb927.10.10510","9.03","9.08","6634.00","6642.00","histone H2B, putative","PG583"
"aa1025aa","Tb927.10.10500","9.03","9.08","6634.00","6642.00","histone H2B, putative","PG583"
"aa1026aa","Tb927.10.10490","9.03","9.08","6634.00","6642.00","histone H2B, putative","PG583"
"aa1027aa","Tb927.10.10480","9.03","9.08","6634.00","6642.00","histone H2B, putative","PG583"
"aa1028aa","Tb927.10.10470","9.03","9.08","6634.00","6642.00","histone H2B, putative","PG583"
"aa1029aa","Tb927.10.10460","9.03","9.08","6634.00","6642.00","histone H2B, putative","PG583"
"aa102aa","Tb11.v5.0767","6.68","6.26","5302.00","5028.00","pumillo RNA binding protein PUF1, putative","PG48"
"aa1030aa","Tb927.10.10445","9.03","9.08","6634.00","6642.00","Core histone H2A/H2B/H3/H4, putative","PG583"
"aa1031aa","Tb927.10.1050","7.19","6.79","5981.00","5803.00","serine peptidase, Clan SC, Family S10","PG584"
"aa1032aa","Tb11.v5.0638","7.19","6.79","5981.00","5803.00","serine carboxypeptidase III precursor, putative","PG584"
"aa1033aa","Tb927.10.1030","7.19","6.79","5981.00","5803.00","serine peptidase, Clan SC, Family S10","PG584"
"aa1034aa","Tb927.10.1060","7.66","7.89","6329.00","6507.00","T-complex protein 1, delta subunit, putative","PG585"
"aa1035aa","Tb927.10.10600","5.99","3.57","3823.00","429.00","ARP2/3 complex 16kDa subunit, putative","PG586"
"aa1036aa","Tb927.10.10610","6.88","4.69","5597.00","2290.00","protein tyrosine phosphatase, putative","PG587"
"aa1037aa","Tb927.10.10620","6.58","6.43","5128.00","5320.00","hypothetical protein, conserved","PG588"
"aa1038aa","Tb927.10.10630","6.46","5.56","4909.00","3496.00","hypothetical protein, conserved","PG589"
"aa1039aa","Tb927.10.10640","3.24","3.67","130.00","1263.00","hypothetical protein, conserved","PG590"
"aa103aa","Tb927.10.4440","6.00","5.21","3860.00","2848.00","SAP DNA binding domain containing protein","PG49"
"aa1040aa","Tb927.10.10650","5.05","3.86","1752.00","1854.00","cytosolic Fe-S cluster assembly factor NAR1, putative","PG591"
"aa1041aa","Tb927.10.10690","5.56","3.63","2761.00","954.00","CEP19-like protein, putative","PG592"
"aa1042aa","Tb927.10.1070","6.80","6.97","5474.00","5987.00","cdc2-related kinase 1","PG593"
"aa1043aa","Tb927.10.10700","5.89","6.40","3577.00","5272.00","splicing factor Prp31","PG594"
"aa1044aa","Tb927.10.10710","3.65","3.65","885.00","1150.00","hypothetical protein, conserved","PG595"
